{'movement': 33, 'useless': 70, 'begin_time': 1649433265.309826, 'keys_per_min': 206.0, 'speed_of_mouse_moved': 358.83036689151896}
{'movement': 0, 'useless': 0, 'begin_time': 1649434364.305173, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434394.3066022, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434424.3077545, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434454.3086052, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434493.983761, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434523.9850001, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434553.98634, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434583.9880502, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434613.9893963, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434643.9903872, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434673.9920025, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434703.99316, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434733.9942126, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 0.0}
{'movement': 0, 'useless': 0, 'begin_time': 1649434763.9953253, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 533.7760009127808}
{'movement': 0, 'useless': 0, 'begin_time': 1649434793.996815, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 569.3562175904873}
{'movement': 0, 'useless': 0, 'begin_time': 1649434823.9980943, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 579.340237459112}
{'movement': 0, 'useless': 0, 'begin_time': 1649434853.9993432, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 523.0389719244441}
{'movement': 9, 'useless': 15, 'begin_time': 1649434884.0003603, 'keys_per_min': 48.0, 'speed_of_mouse_moved': 660.451417942199}
{'movement': 8, 'useless': 23, 'begin_time': 1649434914.001863, 'keys_per_min': 62.0, 'speed_of_mouse_moved': 497.2533617280571}
{'movement': 3, 'useless': 13, 'begin_time': 1649434944.0027792, 'keys_per_min': 32.0, 'speed_of_mouse_moved': 730.7323517643221}
{'movement': 0, 'useless': 0, 'begin_time': 1649434974.0042946, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 43.970026202185075}
{'movement': 0, 'useless': 0, 'begin_time': 1649435004.005494, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 40.53980632669503}
{'movement': 0, 'useless': 0, 'begin_time': 1649435034.0066946, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 107.2877926532173}
{'movement': 0, 'useless': 0, 'begin_time': 1649435064.0078943, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 54.644497708348766}
{'movement': 0, 'useless': 0, 'begin_time': 1649435094.009112, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 139.4563865982692}
{'movement': 0, 'useless': 0, 'begin_time': 1649435124.0103116, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 6.645113644887243}
{'movement': 0, 'useless': 0, 'begin_time': 1649435154.0115116, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 6.9181543057654205}
{'movement': 0, 'useless': 0, 'begin_time': 1649435184.0127125, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 6.807141400751207}
{'movement': 0, 'useless': 0, 'begin_time': 1649435214.0139115, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 191.02950933890494}
{'movement': 0, 'useless': 0, 'begin_time': 1649435244.0151117, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 214.26860069993913}
{'movement': 0, 'useless': 2, 'begin_time': 1649435274.0163121, 'keys_per_min': 4.0, 'speed_of_mouse_moved': 985.2527777891529}
{'movement': 0, 'useless': 2, 'begin_time': 1649435304.017723, 'keys_per_min': 4.0, 'speed_of_mouse_moved': 423.0760260556385}
{'movement': 0, 'useless': 4, 'begin_time': 1649435334.0195765, 'keys_per_min': 8.0, 'speed_of_mouse_moved': 159.2409948836218}
{'movement': 0, 'useless': 0, 'begin_time': 1649435381.8316126, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 279.45771896776745}
{'movement': 1, 'useless': 3, 'begin_time': 1649435470.189874, 'keys_per_min': 8.0, 'speed_of_mouse_moved': 523.152207583987}
{'movement': 1, 'useless': 0, 'begin_time': 1649435500.1926346, 'keys_per_min': 2.0, 'speed_of_mouse_moved': 734.2766163569908}
{'movement': 1, 'useless': 2, 'begin_time': 1649435555.3720884, 'keys_per_min': 6.0, 'speed_of_mouse_moved': 941.085673406629}
{'movement': 21, 'useless': 0, 'begin_time': 1649435585.3740463, 'keys_per_min': 42.0, 'speed_of_mouse_moved': 492.8190236553157}
{'movement': 0, 'useless': 0, 'begin_time': 1649435615.375159, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 558.5390761120982}
{'movement': 30, 'useless': 1, 'begin_time': 1649435645.37658, 'keys_per_min': 62.0, 'speed_of_mouse_moved': 324.5640967197353}
{'movement': 1, 'useless': 4, 'begin_time': 1649435675.378286, 'keys_per_min': 10.0, 'speed_of_mouse_moved': 1165.3827519159668}
{'movement': 21, 'useless': 0, 'begin_time': 1649435705.379115, 'keys_per_min': 42.0, 'speed_of_mouse_moved': 1233.314985181384}
{'movement': 24, 'useless': 2, 'begin_time': 1649435735.3801384, 'keys_per_min': 52.0, 'speed_of_mouse_moved': 1430.516183386426}
{'movement': 21, 'useless': 2, 'begin_time': 1649435765.3810675, 'keys_per_min': 46.0, 'speed_of_mouse_moved': 1418.9414032201694}
{'movement': 30, 'useless': 1, 'begin_time': 1649435795.381969, 'keys_per_min': 62.0, 'speed_of_mouse_moved': 1483.3186402543574}
{'movement': 27, 'useless': 13, 'begin_time': 1649435825.3830104, 'keys_per_min': 80.0, 'speed_of_mouse_moved': 1540.8314768054618}
{'movement': 39, 'useless': 62, 'begin_time': 1649435855.3843112, 'keys_per_min': 202.0, 'speed_of_mouse_moved': 906.1932495060049}
{'movement': 31, 'useless': 87, 'begin_time': 1649435885.3847647, 'keys_per_min': 236.0, 'speed_of_mouse_moved': 634.7504321226252}
{'movement': 0, 'useless': 3, 'begin_time': 1649435915.3864288, 'keys_per_min': 6.0, 'speed_of_mouse_moved': 685.8747650489044}
{'movement': 18, 'useless': 4, 'begin_time': 1649435945.3873873, 'keys_per_min': 44.0, 'speed_of_mouse_moved': 1743.667122772446}
{'movement': 22, 'useless': 2, 'begin_time': 1649435975.3885329, 'keys_per_min': 48.0, 'speed_of_mouse_moved': 1483.1832847219644}
{'movement': 27, 'useless': 1, 'begin_time': 1649436005.3895757, 'keys_per_min': 56.0, 'speed_of_mouse_moved': 1364.8073810786775}
{'movement': 19, 'useless': 2, 'begin_time': 1649436035.3905, 'keys_per_min': 42.0, 'speed_of_mouse_moved': 1362.6544584668798}
{'movement': 28, 'useless': 1, 'begin_time': 1649436065.3916752, 'keys_per_min': 58.0, 'speed_of_mouse_moved': 1383.272793125332}
{'movement': 20, 'useless': 2, 'begin_time': 1649436095.3927674, 'keys_per_min': 44.0, 'speed_of_mouse_moved': 1475.300867381308}
{'movement': 30, 'useless': 36, 'begin_time': 1649436125.3935068, 'keys_per_min': 132.0, 'speed_of_mouse_moved': 1440.8001777913298}
{'movement': 27, 'useless': 14, 'begin_time': 1649436155.3942661, 'keys_per_min': 82.0, 'speed_of_mouse_moved': 1699.3482150740517}
{'movement': 6, 'useless': 21, 'begin_time': 1649436185.3951128, 'keys_per_min': 54.0, 'speed_of_mouse_moved': 670.5276785844544}
{'movement': 0, 'useless': 7, 'begin_time': 1649436215.3959734, 'keys_per_min': 14.0, 'speed_of_mouse_moved': 500.8483842521416}
{'movement': 1, 'useless': 6, 'begin_time': 1649436245.3968635, 'keys_per_min': 14.0, 'speed_of_mouse_moved': 475.6758125916147}
{'movement': 0, 'useless': 3, 'begin_time': 1649436275.3981428, 'keys_per_min': 6.0, 'speed_of_mouse_moved': 526.8233890611655}
{'movement': 6, 'useless': 14, 'begin_time': 1649436305.3995373, 'keys_per_min': 40.0, 'speed_of_mouse_moved': 918.8967545796332}
{'movement': 1, 'useless': 0, 'begin_time': 1649436335.4003103, 'keys_per_min': 2.0, 'speed_of_mouse_moved': 352.4792038839297}
{'movement': 5, 'useless': 31, 'begin_time': 1649436365.4020422, 'keys_per_min': 72.0, 'speed_of_mouse_moved': 664.5069783817165}
{'movement': 0, 'useless': 0, 'begin_time': 1649436395.4030387, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 293.3562899650413}
{'movement': 13, 'useless': 21, 'begin_time': 1649436425.4041734, 'keys_per_min': 68.0, 'speed_of_mouse_moved': 592.1372210049558}
{'movement': 1, 'useless': 4, 'begin_time': 1649436455.4052353, 'keys_per_min': 10.0, 'speed_of_mouse_moved': 732.0078565153289}
{'movement': 2, 'useless': 2, 'begin_time': 1649436485.4061728, 'keys_per_min': 8.0, 'speed_of_mouse_moved': 260.04803132399184}
{'movement': 0, 'useless': 0, 'begin_time': 1649436515.4072273, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 38.41768004482146}
{'movement': 0, 'useless': 0, 'begin_time': 1649436545.4088511, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 58.05378200004726}
{'movement': 0, 'useless': 0, 'begin_time': 1649436575.4104676, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 184.7596443328545}
{'movement': 0, 'useless': 0, 'begin_time': 1649436605.4113185, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 110.09127899634844}
{'movement': 2, 'useless': 2, 'begin_time': 1649436635.4120336, 'keys_per_min': 8.0, 'speed_of_mouse_moved': 374.8779898803967}
{'movement': 0, 'useless': 0, 'begin_time': 1649436665.4135706, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 116.14192761446968}
{'movement': 0, 'useless': 0, 'begin_time': 1649436695.4147859, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 1.931322257413978}
{'movement': 1, 'useless': 1, 'begin_time': 1649436725.416057, 'keys_per_min': 4.0, 'speed_of_mouse_moved': 474.12568161554447}
{'movement': 1, 'useless': 1, 'begin_time': 1649436755.417223, 'keys_per_min': 4.0, 'speed_of_mouse_moved': 616.7184107474866}
{'movement': 0, 'useless': 0, 'begin_time': 1649436785.4180045, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 7.171242149918839}
{'movement': 0, 'useless': 0, 'begin_time': 1649436815.4194562, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 371.73583101767093}
{'movement': 12, 'useless': 19, 'begin_time': 1649436845.420287, 'keys_per_min': 62.0, 'speed_of_mouse_moved': 163.9996700290647}
{'movement': 0, 'useless': 0, 'begin_time': 1649436875.4211593, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 138.67057477662695}
{'movement': 0, 'useless': 0, 'begin_time': 1649436905.4224284, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 345.2997056793414}
{'movement': 0, 'useless': 0, 'begin_time': 1649436935.423501, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 22.962592671166398}
{'movement': 0, 'useless': 0, 'begin_time': 1649436965.4244683, 'keys_per_min': 0.0, 'speed_of_mouse_moved': 54.60898124273042}
